"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"TMEM65",-0.178693778496135,3.10887175769416,-0.668810314703824,0.562160333522937,0.979533559905577,-10.0695198047595,"NOT"
"TTC38",-0.0735097407857852,4.96762378038369,-1.28557820800697,0.308498829776143,0.776770415934167,-10.0700762369293,"NOT"
"SFXN4",-0.185018172428443,5.41475731666033,-1.40205416082724,0.276124021827439,0.73148580788915,-10.0703478343511,"NOT"
"PSMB6",-0.0674254186979351,6.77307711501219,-1.71366262100626,0.20730280202621,0.636157476132943,-10.0708170202066,"NOT"
"PDZD7",0.011617088185766,2.29278762339578,0.0547267878647154,0.960575768307205,1,-10.0708862166972,"NOT"
"FNDC8",0.0709475080364963,2.35321818416808,0.178152407142186,0.872523276596886,1,-10.071151286224,"NOT"
"FOXJ3",-0.155663100497197,6.23822591842606,-1.59565126287499,0.230644256716969,0.675789808395294,-10.072064922418,"NOT"
"PPP2R5B",0.221035819013013,4.13192428246223,1.03207671477571,0.394555450568766,0.812050566737149,-10.0733069051302,"NOT"
"MYH11",-0.128340946844113,2.82023415717171,-0.526110207821072,0.643408490432583,1,-10.0734189402902,"NOT"
"ZNHIT3",0.0473897106877272,6.30674312279497,1.60957422325187,0.227730825547938,0.671807599822093,-10.073426513021,"NOT"
"KIF5B",0.220117837056164,7.85568829622793,1.93194358696066,0.171294875192989,0.573474100243815,-10.0756259160541,"NOT"
"TERF1",0.157193827944637,4.57811752240481,1.16809416061968,0.34554139766716,0.812050566737149,-10.0757668789101,"NOT"
"CEP72",-0.0708971446238804,5.00927379607345,-1.29160758465414,0.306720728219936,0.773360426152545,-10.0757767549859,"NOT"
"RBM17",0.123723208817317,6.99912027865894,1.75573882143257,0.199682608849654,0.625392221044705,-10.0760348659938,"NOT"
"AP001362.1",0.0302671468745244,5.22835305542625,1.34907643754288,0.290342504758014,0.752160317817569,-10.0761157158473,"NOT"
"WASHC2A",-0.109116918436102,2.93323173286659,-0.579348157769915,0.612102483687396,1,-10.076258332041,"NOT"
"ZNF283",0.0906350885364668,3.52259680015923,0.825394822242283,0.483040291092347,0.894415644970607,-10.0764345187334,"NOT"
"HTR1F",-0.0503883817957953,2.67060142690112,-0.435590452452698,0.699207480840722,1,-10.0767534140998,"NOT"
"SNAI3",-0.0328256818450803,2.70492137311563,-0.45591961751207,0.686405514132726,1,-10.0769171830891,"NOT"
"IPMK",-0.180530453978125,3.12152994875433,-0.664273493930036,0.564610870396762,0.982530997281802,-10.0776585392536,"NOT"
"OSR2",0.0772329135323013,2.43214540882256,0.24880457750542,0.823205943381862,1,-10.0777872269205,"NOT"
"YIF1A",-0.0772485358866382,6.38645844694836,-1.62350466669049,0.224860017818197,0.667534571872467,-10.0779347414973,"NOT"
"SLC12A2",-0.171876845212058,5.49374329624578,-1.41481535811951,0.27282016489252,0.726433881461367,-10.0780295294464,"NOT"
"AP5S1",-0.148566242385342,3.93914674634782,-0.96807131281173,0.420081694792147,0.824955964265595,-10.0782406931515,"NOT"
"DNASE1L1",-0.0787378861307499,3.67422690255221,-0.879029645317949,0.458369224258805,0.866688412914265,-10.0782523097901,"NOT"
"LCAT",-0.130355078300003,3.50426233713203,-0.816523140387816,0.487239675958669,0.899149312736149,-10.0793356582662,"NOT"
"PRX",-0.0744396024766312,2.44040828166689,-0.254944415820705,0.818971753077801,1,-10.0794687838792,"NOT"
"THAP11",-0.215033776760195,5.67542207996264,-1.45756290874291,0.262082886387863,0.71166506057501,-10.0795138480377,"NOT"
"ESD",0.113749683012261,6.50417445471162,1.64720979072397,0.220074492375194,0.658754572919579,-10.0796590806954,"NOT"
"ARIH1",-0.149322067678415,6.03369944471363,-1.54198877535863,0.242299119126176,0.688612663439706,-10.0797773801522,"NOT"
"ZNF12",0.189520748414362,4.71603451007952,1.20351122696444,0.333881893345083,0.812050566737149,-10.0803245483425,"NOT"
"FAIM",0.0331341924144182,2.42107268654841,0.230332178846078,0.835998113739655,1,-10.0806177394177,"NOT"
"ZNF891",0.205913018313061,3.59957752274288,0.846963455691215,0.472971633413059,0.882247946567052,-10.0810618332552,"NOT"
"SLC26A10",-0.110401186610829,3.5340396906248,-0.825662450557835,0.482914135416791,0.894346165627812,-10.0811209929515,"NOT"
"UQCRQ",0.0691226346198226,7.64977307383134,1.88500929036654,0.178336678053532,0.585110144659133,-10.0813982947939,"NOT"
"INTS14",-0.0591955077975106,5.93006235261532,-1.5165056262651,0.248078799331116,0.69835099027776,-10.0814459949306,"NOT"
"MAP1LC3B2",-0.0514221925482552,2.39554974437467,-0.197567657443616,0.858870196784385,1,-10.0817678401439,"NOT"
"ZNF274",0.113133320194835,5.87396909658044,1.5021086396313,0.251416258760033,0.701968942727756,-10.0819053491492,"NOT"
"CXorf40A",-0.0612536712485987,3.29517056391251,-0.732604941094014,0.528643615343761,0.94386948608798,-10.0819250600528,"NOT"
"ZNF749",0.184539290753821,3.35807924378204,0.754269604421568,0.517662516581537,0.930602819092464,-10.0820416154169,"NOT"
"FAM222B",-0.128008174343595,6.21820185014166,-1.58186915367645,0.233572380023588,0.679386924900741,-10.0823283390762,"NOT"
"LAMTOR2",-0.193903553621394,4.8110843573488,-1.23033042509029,0.32534025697106,0.801573889138439,-10.0825942465572,"NOT"
"KAT2A",-0.0884191559120069,6.51290683553823,-1.64670279622192,0.220175547394583,0.658959324035308,-10.0829368654379,"NOT"
"SFXN1",0.120578086607642,7.53569675266794,1.85992516243951,0.182248588439207,0.592168533777433,-10.0830905342118,"NOT"
"TMEM120B",-0.140596279640767,4.98563711421387,-1.27783542726042,0.310799250197284,0.779935298213303,-10.0836813206446,"NOT"
"MAGI1",-0.168722410052824,5.14859817231296,-1.32126715754472,0.298140647421308,0.761363004507177,-10.0838126744932,"NOT"
"CFL2",0.208521177747576,2.71422207399661,0.44635001370098,0.692412912307194,1,-10.0839809384028,"NOT"
"PITPNM1",-0.188646111177287,5.89316411331489,-1.50481183410835,0.250785586945684,0.700886848102874,-10.0845664164055,"NOT"
"RPL11",-0.0296243735622692,9.79466324580927,-2.35459100789428,0.121392165429266,0.480515639694704,-10.084591242969,"NOT"
"IRAK2",-0.0918502014410727,2.52949969259267,-0.320851775704412,0.77413262743173,1,-10.0848929044245,"NOT"
"RANGRF",-0.0760334968609331,3.76912934070048,-0.904339619223032,0.447150491835616,0.853893269846194,-10.0851901931411,"NOT"
"TFG",0.129758338933925,6.42141997188165,1.62380086128902,0.224799452441912,0.667452957147303,-10.0852592640247,"NOT"
"STX18",0.0471733909959209,5.39080597358435,1.38169768323165,0.281490509760436,0.739957075905492,-10.085778224327,"NOT"
"SLC35B1",0.0985153136277912,5.87841496999258,1.49965300419577,0.25199079704502,0.702137029045745,-10.0859606663603,"NOT"
"SLC35A5",-0.113445999777782,4.69130614612534,-1.19260239677229,0.33742661462528,0.812050566737149,-10.0864725001459,"NOT"
"KIF7",0.177151135639496,3.85454615727839,0.929638945734596,0.436204338448718,0.841349493857744,-10.0865487982705,"NOT"
"CBX3",0.120395035697583,7.74358309392723,1.89910968657599,0.176183672623506,0.581553683794467,-10.0867326568477,"NOT"
"ZBTB43",-0.0980483928878222,4.9076797056264,-1.25326296172522,0.318228150187594,0.792344836927832,-10.0872962648703,"NOT"
"NEMP1",0.155618709077592,6.8440543023669,1.7125602746332,0.207507183142751,0.636332238718105,-10.0874703943129,"NOT"
"ZNF680",0.203528041442774,3.18915757542024,0.677552945465678,0.557463052239987,0.973618507767648,-10.0884771702376,"NOT"
"EMID1",0.148480407800575,2.75941302894923,0.464190600083523,0.681240765769204,1,-10.0890687131924,"NOT"
"SMPD3",0.0061817435964806,2.34341880429186,0.0396576085904572,0.97142176203647,1,-10.0896943053012,"NOT"
"CWC25",0.0301498378373841,5.22557891914708,1.33556296442739,0.294102489496845,0.756183251437868,-10.0899951940874,"NOT"
"ASB7",-0.224642912427197,4.39418223225682,-1.09883097632245,0.369637844049914,0.812050566737149,-10.0910244510268,"NOT"
"SRSF4",-0.0679518510799353,7.76695304698476,-1.90019339614883,0.176019547438179,0.581553683794467,-10.091250774836,"NOT"
