"","x"
"1034","GIPR"
"1035","CDHR2"
"1036","BOLA2B"
"1037","HSD17B1"
"1038","LRGUK"
"1039","CLEC11A"
"1040","SLC25A10"
"1041","IL16"
"1042","HIST1H2BD"
"1043","NBL1"
"1044","PIGL"
"1045","CRTC2"
"1046","USP13"
"1047","DDX19A"
"1048","TANGO6"
"1049","SLC2A9"
"1050","METTL7B"
"1051","GAGE12I"
"1052","SPRED1"
"1053","ABHD11"
"1054","CTU2"
"1055","COX10"
"1056","PHACTR1"
"1057","ST8SIA4"
"1058","MILR1"
"1059","KIAA1147"
"1060","VGF"
"1061","BUD13"
"1062","ADAT2"
"1063","NPAS1"
"1064","FZD8"
"1065","RPL26"
"1066","NEK6"
"1067","CDK11B"
"1068","KLHL26"
"1069","ARMC7"
"1070","F12"
"1071","ANKRD55"
"1072","SEC24A"
"1073","ZNF584"
"1074","CDIP1"
"1075","MYLK4"
"1076","RYR3"
"1077","AP1S3"
"1078","SPATA33"
"1079","NFKBIA"
"1080","FOXA2"
"1081","COL1A2"
"1082","JMJD7"
"1083","APMAP"
"1084","TMEM225B"
"1085","ZNF133"
"1086","GMDS"
"1087","ENPP3"
"1088","SH3D21"
"1089","EEF2"
"1090","TWF2"
"1091","TRIM61"
"1092","DIRAS1"
"1093","AL360181.1"
"1094","HYAL3"
"1095","MS4A4A"
"1096","STX16-NPEPL1"
"1097","AC069544.2"
"1098","OR52D1"
"1099","FUT4"
"1100","MTF1"
"1101","ZCWPW1"
"1102","NEK4"
"1103","MMRN2"
"1104","INPP1"
"1105","EIF3C"
"1106","PMP22"
"1107","VDR"
"1108","MT-ATP8"
"1109","MOB3B"
"1110","CSNK1E"
"1111","CLIC3"
"1112","ENPP6"
"1113","ZBTB24"
"1114","MARVELD1"
"1115","SNX18"
"1116","LGALS9"
"1117","LSM12"
"1118","TUT1"
"1119","PHKA2"
"1120","CAMKK1"
"1121","DBP"
"1122","VCX3B"
"1123","CD164L2"
"1124","PRR16"
"1125","MOCS3"
"1126","NIPAL1"
"1127","CHRNB2"
"1128","FAM156A"
"1129","DIXDC1"
"1130","CACNA1I"
"1131","HIGD2B"
"1132","AEBP2"
"1133","VAV2"
"1134","AL669831.1"
"1135","AP1S2"
"1136","RNF207"
"1137","PAK6"
"1138","MIPEP"
"1139","OCEL1"
"1140","GMIP"
"1141","LINC00694"
"1142","CAMLG"
"1143","C4orf48"
"1144","GEMIN6"
"1145","ZNF668"
"1146","PCGF2"
"1147","BCL9"
"1148","RPS10"
"1149","ZNF85"
"1150","ZFAND4"
"1151","PLAGL1"
"1152","FAM117B"
"1153","PDE2A"
"1154","REN"
"1155","AL121758.1"
"1156","ARID5A"
"1157","RP11-1212A22.4"
"1158","LARP1B"
"1159","TAS2R14"
"1160","KIF27"
"1161","ZDHHC16"
"1162","BEGAIN"
"1163","ANKRD50"
"1164","AP5B1"
"1165","PNRC1"
"1166","KCNS3"
"1167","C2CD2"
"1168","ITIH5"
"1169","GRAMD2A"
"1170","LCT"
"1171","FCGBP"
"1172","PLEKHN1"
"1173","FGF5"
"1174","TUBB2B"
"1175","INPP5K"
"1176","SLC8A2"
"1177","CD2"
"1178","USE1"
"1179","TMEM192"
"1180","GAL3ST2"
"1181","ARL17A"
"1182","TSPO2"
"1183","WDR90"
"1184","ZC3H12C"
"1185","ADM5"
"1186","ACSM4"
"1187","CARD18"
"1188","OPRL1"
"1189","C17orf53"
"1190","LRFN1"
"1191","ADGRG3"
"1192","LRRC73"
"1193","AP001931.1"
"1194","SPNS2"
"1195","AHSP"
"1196","P2RX2"
"1197","LAMC3"
"1198","DLX1"
"1199","SPTBN4"
"1200","BLOC1S1"
"1201","TMEM238"
"1202","TNN"
"1203","RPP14"
"1204","SDC2"
"1205","C3AR1"
"1206","TSHZ1"
"1207","GRIK5"
"1208","IQCF6"
"1209","C17orf51"
"1210","TTC36"
"1211","JMY"
"1212","LPAR2"
"1213","UBE2E2"
"1214","NR4A1"
"1215","NEK11"
"1216","GRAMD2B"
"1217","FAM210A"
"1218","MRPL38"
"1219","NOCT"
"1220","AC051642.1"
"1221","MED17"
"1222","MATR3"
"1223","GNG8"
"1224","YJEFN3"
"1225","HIST1H2BC"
"1226","AACS"
"1227","CCDC74A"
"1228","PAPD5"
"1229","ARMCX4"
"1230","ITPKA"
"1231","PVR"
"1232","CA2"
"1233","MYO1G"
"1234","DGKE"
"1235","NOS1AP"
"1236","EN1"
"1237","DIS3L2"
"1238","APOC1"
"1239","FGFR4"
"1240","FP565260.1"
"1241","PTRH1"
"1242","HIST1H3E"
"1243","PIP5K1A"
"1244","TFPT"
"1245","NAAA"
"1246","PNCK"
"1247","SSC4D"
"1248","PTPRJ"
"1249","EDARADD"
"1250","GABRR1"
"1251","ADARB2"
"1252","BCLAF3"
"1253","BGLAP"
"1254","ARHGEF6"
"1255","CUTC"
"1256","CEP164"
"1257","KLHL8"
"1258","RTN4RL1"
"1259","SRSF10"
"1260","OR2AG2"
"1261","SEMA6B"
"1262","DHRS4"
"1263","TMEM184A"
"1264","FCGR2B"
"1265","RBBP9"
"1266","SERTAD1"
"1267","TIFA"
"1268","FAM110D"
"1269","CDK2AP1"
"1270","ASPDH"
"1271","CRISPLD1"
"1272","TM9SF1"
"1273","EFNA1"
"1274","RPL17"
"1275","AC040162.1"
"1276","KIF3A"
"1277","MICB"
"1278","PMM2"
"1279","DFFB"
"1280","PRRC2A"
"1281","CRACR2A"
"1282","PLK3"
"1283","FZD4"
"1284","AZU1"
"1285","ANKRD20A4"
"1286","LIME1"
"1287","HIST1H1T"
"1288","TNFAIP8"
"1289","GPER1"
"1290","MT1X"
"1291","TP53I11"
"1292","KRTCAP3"
"1293","EFHD1"
"1294","NEO1"
"1295","CAMK2N2"
"1296","SYNE4"
"1297","ZNF506"
"1298","HS6ST1"
"1299","TSPYL6"
"1300","CCDC144NL"
"1301","PPM1H"
"1302","DBI"
"1303","IFI30"
"1304","LENG1"
"1305","SETBP1"
"1306","IL17D"
"1307","MBOAT1"
"1308","CORO1A"
"1309","HFE"
"1310","DZIP1L"
"1311","LEKR1"
"1312","RNF122"
"1313","CCDC103"
"1314","BCL6B"
"1315","CBS"
"1316","NUDT8"
"1317","ADGRF3"
"1318","CDC42EP2"
"1319","FKBP7"
"1320","LPO"
"1321","SYT10"
"1322","FICD"
"1323","SAYSD1"
"1324","KCNQ5"
"1325","DCUN1D3"
"1326","AC004706.4"
"1327","SYCE1L"
"1328","PABPC4L"
